case_id,court_venue,judge_id,filing_date,case_complexity,claim_amount_gbp,num_interlocutory_motions,summary_judgment_filed,summary_judgment_granted,disposition_type,disposition_date,days_to_resolution,final_awarded_amount_gbp,settled_at_trial_door,case_status,event_observed
CC-2022-0304,US District Court — S.D.N.Y.,JUD-06,2022-01-06,Medium,270217.8,2,True,False,Dismissed,2022-08-12,218,0.0,False,Resolved,1
CC-2022-0061,London Commercial Court,JUD-02,2022-01-06,Medium,191000.82,3,False,False,Dismissed,2022-12-11,339,0.0,False,Resolved,1
CC-2022-1146,High Court — Chancery Division,JUD-03,2022-01-06,High,5926063.44,3,True,False,Settled,2024-01-28,752,3535880.43,False,Resolved,1
CC-2022-0016,High Court — KBD (TCC),JUD-05,2022-01-06,High,706078.84,9,True,False,,,1636,,,Ongoing,0
CC-2022-0457,Dubai International Fin. Centre,JUD-10,2022-01-07,Medium,290158.86,2,True,False,Settled,2022-10-23,289,90222.91,False,Resolved,1
CC-2022-0384,London Commercial Court,JUD-02,2022-01-07,High,266967.34,2,False,False,Settled,2025-07-23,1293,56069.72,True,Resolved,1
CC-2022-0288,Singapore International Comm.,JUD-09,2022-01-07,Low,484474.87,1,True,True,Dismissed,2022-07-14,188,0.0,False,Resolved,1
CC-2022-0780,London Commercial Court,JUD-01,2022-01-07,Low,193349.91,1,False,False,Settled,2023-02-22,411,108263.99,False,Resolved,1
CC-2022-0797,London Commercial Court,JUD-02,2022-01-07,Medium,2544458.43,8,True,False,Settled,2024-08-02,938,478730.89,False,Resolved,1
CC-2022-0510,High Court — Chancery Division,JUD-03,2022-01-07,Medium,714077.32,1,True,False,Dismissed,2023-02-12,401,0.0,False,Resolved,1
CC-2022-0095,London Commercial Court,JUD-01,2022-01-08,Low,392597.85,1,True,True,Dismissed,2022-05-06,118,0.0,False,Resolved,1
CC-2022-0163,London Commercial Court,JUD-02,2022-01-08,Medium,1282796.91,1,False,False,Dismissed,2022-09-21,256,0.0,False,Resolved,1
CC-2022-0657,US District Court — S.D.N.Y.,JUD-06,2022-01-09,High,1114610.35,1,False,False,Settled,2023-12-17,707,523499.33,False,Resolved,1
CC-2022-0132,Singapore International Comm.,JUD-09,2022-01-09,Low,784459.02,2,False,False,Settled,2023-01-09,365,295144.64,False,Resolved,1
CC-2022-0435,US District Court — S.D.N.Y.,JUD-07,2022-01-09,Low,181181.48,0,False,False,Dismissed,2022-10-21,285,0.0,False,Resolved,1
CC-2022-1113,Singapore International Comm.,JUD-09,2022-01-10,Low,1648777.43,2,True,True,Dismissed,2022-06-26,167,0.0,False,Resolved,1
CC-2022-0817,US District Court — S.D.N.Y.,JUD-06,2022-01-10,Low,417823.98,2,False,False,Settled,2022-09-06,239,142918.09,False,Resolved,1
CC-2022-0347,London Commercial Court,JUD-02,2022-01-10,Low,1965036.75,1,False,False,Settled,2023-01-10,365,447719.14,False,Resolved,1
CC-2022-0555,High Court — Chancery Division,JUD-04,2022-01-10,Low,305468.46,1,True,True,Dismissed,2022-07-29,200,0.0,False,Resolved,1
CC-2022-0777,US District Court — N.D. Cal.,JUD-08,2022-01-10,Medium,6035728.77,3,False,False,Settled,2025-10-01,1360,3331176.53,True,Resolved,1
CC-2022-1062,High Court — KBD (TCC),JUD-05,2022-01-11,Medium,548156.39,2,False,False,Settled,2023-06-05,510,193774.12,False,Resolved,1
CC-2022-0837,High Court — KBD (TCC),JUD-05,2022-01-11,Low,4290642.73,2,False,False,Settled,2023-10-23,650,1180066.37,False,Resolved,1
CC-2022-0125,High Court — Chancery Division,JUD-03,2022-01-11,Medium,171184.35,2,False,False,Trial Judgment,2024-06-05,876,0.0,False,Resolved,1
CC-2022-0929,High Court — Chancery Division,JUD-03,2022-01-12,Low,783836.22,3,True,False,Dismissed,2022-07-11,180,0.0,False,Resolved,1
CC-2022-0151,Singapore International Comm.,JUD-09,2022-01-12,Low,948469.0,0,False,False,Settled,2022-10-18,279,302620.43,False,Resolved,1
CC-2022-0934,London Commercial Court,JUD-01,2022-01-12,Medium,444289.92,5,False,False,Settled,2023-07-11,545,76313.49,False,Resolved,1
CC-2022-1106,US District Court — N.D. Cal.,JUD-08,2022-01-13,Medium,404297.63,0,False,False,Dismissed,2022-10-06,266,0.0,False,Resolved,1
CC-2022-1212,London Commercial Court,JUD-02,2022-01-14,High,1634312.15,4,True,False,Settled,2024-09-04,964,456880.75,False,Resolved,1
CC-2022-0431,Singapore International Comm.,JUD-09,2022-01-14,High,1190624.99,5,True,False,Settled,2024-06-05,873,256582.72,False,Resolved,1
CC-2022-0801,London Commercial Court,JUD-01,2022-01-14,High,560823.48,3,True,True,Dismissed,2023-12-10,695,0.0,False,Resolved,1
CC-2022-0566,Singapore International Comm.,JUD-09,2022-01-14,Low,163520.43,0,False,False,Dismissed,2022-05-31,137,0.0,False,Resolved,1
CC-2022-0965,US District Court — S.D.N.Y.,JUD-06,2022-01-15,Low,3144874.65,0,True,False,Settled,2023-06-17,518,476413.05,False,Resolved,1
CC-2022-0140,US District Court — N.D. Cal.,JUD-08,2022-01-15,Low,213412.69,0,True,True,Dismissed,2022-06-27,163,0.0,False,Resolved,1
CC-2022-0876,High Court — KBD (TCC),JUD-05,2022-01-15,Low,342528.52,1,False,False,Settled,2022-11-06,295,86604.14,False,Resolved,1
CC-2022-1204,US District Court — S.D.N.Y.,JUD-06,2022-01-15,Medium,535638.45,2,False,False,Dismissed,2022-06-18,154,0.0,False,Resolved,1
CC-2022-0361,Singapore International Comm.,JUD-09,2022-01-15,Low,1915761.48,3,True,False,Settled,2022-11-08,297,527127.53,False,Resolved,1
CC-2022-1189,London Commercial Court,JUD-02,2022-01-16,Low,915626.2,2,False,False,Dismissed,2022-09-15,242,0.0,False,Resolved,1
CC-2022-0467,High Court — Chancery Division,JUD-04,2022-01-16,Medium,455127.19,2,False,False,Settled,2023-07-06,536,61345.66,False,Resolved,1
CC-2022-0410,Singapore International Comm.,JUD-09,2022-01-16,High,1883029.21,2,True,False,Settled,2026-04-06,1541,750693.1,False,Resolved,1
CC-2022-0150,US District Court — N.D. Cal.,JUD-08,2022-01-16,Medium,683988.46,1,False,False,Trial Judgment,2023-11-09,662,585199.3,False,Resolved,1
CC-2022-0924,US District Court — S.D.N.Y.,JUD-06,2022-01-17,High,767120.31,6,True,False,Settled,2024-04-12,816,134880.56,False,Resolved,1
CC-2022-1100,London Commercial Court,JUD-02,2022-01-17,High,153958.36,2,False,False,Settled,2023-10-28,649,24701.61,False,Resolved,1
CC-2022-0201,Singapore International Comm.,JUD-09,2022-01-17,Low,897656.67,2,True,False,Settled,2023-02-01,380,263898.77,False,Resolved,1
CC-2022-1224,Dubai International Fin. Centre,JUD-10,2022-01-17,Medium,639695.96,1,True,False,Dismissed,2022-07-21,185,0.0,False,Resolved,1
CC-2022-0521,London Commercial Court,JUD-02,2022-01-17,Medium,109756.74,1,False,False,Trial Judgment,2023-04-16,454,51672.56,False,Resolved,1
CC-2022-1241,High Court — Chancery Division,JUD-03,2022-01-17,High,880976.42,5,True,True,Dismissed,2023-06-14,513,0.0,False,Resolved,1
CC-2022-0009,US District Court — N.D. Cal.,JUD-08,2022-01-17,Low,2577769.92,2,True,False,Dismissed,2022-08-17,212,0.0,False,Resolved,1
CC-2022-0443,High Court — KBD (TCC),JUD-05,2022-01-18,Low,103154.68,0,False,False,Dismissed,2022-10-20,275,0.0,False,Resolved,1
CC-2022-0141,US District Court — S.D.N.Y.,JUD-07,2022-01-18,Low,217524.62,0,True,False,Settled,2022-09-17,242,105020.99,False,Resolved,1
CC-2022-0320,US District Court — N.D. Cal.,JUD-08,2022-01-18,Medium,870520.33,2,True,False,Trial Judgment,2024-05-22,855,474899.59,False,Resolved,1
CC-2022-0001,US District Court — N.D. Cal.,JUD-08,2022-01-18,Medium,307438.66,2,False,False,Trial Judgment,2023-08-05,564,229031.26,False,Resolved,1
CC-2022-1253,High Court — KBD (TCC),JUD-05,2022-01-18,Low,147312.48,0,True,False,Settled,2022-09-09,234,78994.39,False,Resolved,1
CC-2022-0349,High Court — KBD (TCC),JUD-05,2022-01-19,Low,432191.63,2,False,False,Dismissed,2022-12-14,329,0.0,False,Resolved,1
CC-2022-0371,High Court — KBD (TCC),JUD-05,2022-01-19,Medium,596547.61,4,False,False,Settled,2024-08-17,941,165316.77,False,Resolved,1
CC-2022-0715,High Court — Chancery Division,JUD-03,2022-01-20,Medium,112942.65,0,False,False,Dismissed,2022-12-07,321,0.0,False,Resolved,1
CC-2022-0932,High Court — KBD (TCC),JUD-05,2022-01-20,Low,329552.58,0,True,True,Dismissed,2022-08-22,214,0.0,False,Resolved,1
CC-2022-0408,US District Court — S.D.N.Y.,JUD-07,2022-01-20,Low,762152.28,0,True,False,Settled,2023-02-27,403,119760.85,False,Resolved,1
CC-2022-0902,High Court — Chancery Division,JUD-03,2022-01-20,Medium,311888.49,4,True,False,Settled,2023-02-24,400,105518.35,False,Resolved,1
CC-2022-0552,Dubai International Fin. Centre,JUD-10,2022-01-21,Low,1008888.51,0,True,False,Settled,2023-02-25,400,217268.72,False,Resolved,1
CC-2022-1248,High Court — KBD (TCC),JUD-05,2022-01-21,Low,672190.25,1,True,False,Dismissed,2022-11-02,285,0.0,False,Resolved,1
CC-2022-0098,US District Court — N.D. Cal.,JUD-08,2022-01-22,Low,538990.05,1,True,False,Settled,2022-07-03,162,50529.69,False,Resolved,1
CC-2022-1257,High Court — KBD (TCC),JUD-05,2022-01-22,Medium,903436.2,1,True,False,Settled,2023-11-26,673,427004.97,False,Resolved,1
CC-2022-0649,High Court — Chancery Division,JUD-04,2022-01-23,Low,740204.93,1,True,True,Dismissed,2022-08-01,190,0.0,False,Resolved,1
CC-2022-0567,London Commercial Court,JUD-02,2022-01-23,Medium,728948.39,2,True,False,Settled,2023-08-05,559,237375.31,False,Resolved,1
CC-2022-0022,US District Court — S.D.N.Y.,JUD-07,2022-01-23,Medium,3593211.65,5,True,False,Settled,2023-03-11,412,1319410.17,False,Resolved,1
CC-2022-0906,US District Court — N.D. Cal.,JUD-08,2022-01-24,Medium,1490661.13,3,False,False,Dismissed,2023-12-07,682,0.0,False,Resolved,1
CC-2022-0014,High Court — Chancery Division,JUD-04,2022-01-24,High,483331.21,1,False,False,Settled,2025-05-15,1207,158584.41,False,Resolved,1
CC-2022-0179,High Court — KBD (TCC),JUD-05,2022-01-24,Medium,986072.81,3,False,False,Settled,2023-02-20,392,82482.37,False,Resolved,1
CC-2022-0598,US District Court — S.D.N.Y.,JUD-06,2022-01-24,High,1705933.79,6,True,False,Settled,2023-05-26,487,265267.87,False,Resolved,1
CC-2022-0413,US District Court — S.D.N.Y.,JUD-06,2022-01-24,Medium,344881.85,2,False,False,Dismissed,2023-05-11,472,0.0,False,Resolved,1
CC-2022-0188,US District Court — N.D. Cal.,JUD-08,2022-01-25,Medium,1053037.01,2,False,False,Settled,2023-03-14,413,344074.63,False,Resolved,1
CC-2022-1159,Singapore International Comm.,JUD-09,2022-01-25,Medium,2877695.57,1,True,False,Settled,2023-04-18,448,639631.97,False,Resolved,1
CC-2022-0805,US District Court — S.D.N.Y.,JUD-06,2022-01-25,Medium,1301018.69,1,False,False,Settled,2023-01-24,364,300828.97,False,Resolved,1
CC-2022-0335,High Court — KBD (TCC),JUD-05,2022-01-25,Medium,640644.23,6,True,False,Settled,2023-11-10,654,202456.06,False,Resolved,1
CC-2022-0305,High Court — Chancery Division,JUD-04,2022-01-26,Medium,317673.74,3,False,False,Settled,2024-02-23,758,132918.11,False,Resolved,1
CC-2022-0708,High Court — Chancery Division,JUD-03,2022-01-26,Medium,551841.13,1,False,False,Settled,2023-10-25,637,261258.04,False,Resolved,1
CC-2022-0284,Singapore International Comm.,JUD-09,2022-01-27,Medium,550671.04,0,False,False,Dismissed,2022-06-30,154,0.0,False,Resolved,1
CC-2022-0478,Dubai International Fin. Centre,JUD-10,2022-01-27,Medium,1209811.06,2,False,False,Dismissed,2022-09-05,221,0.0,False,Resolved,1
CC-2022-1174,High Court — Chancery Division,JUD-03,2022-01-27,Medium,96377.62,3,False,False,Settled,2023-01-15,353,17643.02,False,Resolved,1
CC-2022-0152,London Commercial Court,JUD-02,2022-01-27,Low,773141.46,0,True,False,Settled,2022-12-07,314,690116.0,False,Resolved,1
CC-2022-0879,US District Court — S.D.N.Y.,JUD-06,2022-01-27,Medium,367738.27,4,True,False,Dismissed,2023-04-23,451,0.0,False,Resolved,1
CC-2022-0806,US District Court — S.D.N.Y.,JUD-06,2022-01-28,Medium,2470816.95,1,False,False,Settled,2023-02-08,376,889811.17,False,Resolved,1
CC-2022-1124,Singapore International Comm.,JUD-09,2022-01-28,Low,2699491.22,2,False,False,Settled,2023-01-22,359,693828.14,False,Resolved,1
CC-2022-1185,Singapore International Comm.,JUD-09,2022-01-29,Low,748840.8,1,False,False,Settled,2022-12-23,328,209255.9,False,Resolved,1
CC-2022-0259,London Commercial Court,JUD-01,2022-02-01,Low,3394220.97,4,False,False,Settled,2023-04-16,439,2392128.46,False,Resolved,1
CC-2022-0334,London Commercial Court,JUD-02,2022-02-02,Low,2332415.09,2,False,False,Settled,2022-11-26,297,1758152.72,False,Resolved,1
CC-2022-0938,US District Court — N.D. Cal.,JUD-08,2022-02-02,Medium,252824.68,3,False,False,Settled,2024-02-27,755,61223.72,False,Resolved,1
CC-2022-0718,US District Court — S.D.N.Y.,JUD-07,2022-02-02,Medium,678740.34,2,False,False,Settled,2022-12-11,312,12103.28,True,Resolved,1
CC-2022-0946,London Commercial Court,JUD-01,2022-02-02,Medium,2787037.92,0,False,False,Settled,2023-01-18,350,1101580.05,False,Resolved,1
CC-2022-1079,High Court — KBD (TCC),JUD-05,2022-02-02,Low,254044.0,0,False,False,Dismissed,2022-06-26,144,0.0,False,Resolved,1
CC-2022-1199,High Court — Chancery Division,JUD-03,2022-02-02,Medium,295055.53,3,True,True,Dismissed,2022-10-05,245,0.0,False,Resolved,1
CC-2022-1259,US District Court — S.D.N.Y.,JUD-07,2022-02-03,Medium,513403.73,5,True,False,Dismissed,2023-06-11,493,0.0,False,Resolved,1
CC-2022-0450,London Commercial Court,JUD-01,2022-02-03,Low,123152.25,0,False,False,Settled,2022-07-19,166,68408.25,False,Resolved,1
CC-2022-0847,Dubai International Fin. Centre,JUD-10,2022-02-03,Low,814883.4,1,True,False,Settled,2022-10-02,241,304829.44,True,Resolved,1
CC-2022-0023,London Commercial Court,JUD-02,2022-02-03,Medium,767193.62,3,True,False,Settled,2023-09-04,578,157794.48,False,Resolved,1
CC-2022-0228,Dubai International Fin. Centre,JUD-10,2022-02-04,Low,376033.06,0,False,False,Dismissed,2022-04-21,76,0.0,False,Resolved,1
CC-2022-0962,US District Court — N.D. Cal.,JUD-08,2022-02-04,Medium,149013.99,1,True,True,Dismissed,2022-10-01,239,0.0,False,Resolved,1
CC-2022-1053,High Court — Chancery Division,JUD-03,2022-02-05,Medium,705896.0,1,True,False,Settled,2023-04-05,424,221587.34,False,Resolved,1
CC-2022-0972,US District Court — S.D.N.Y.,JUD-07,2022-02-05,Low,664352.34,1,False,False,Settled,2022-11-21,289,437551.99,False,Resolved,1
CC-2022-0090,Singapore International Comm.,JUD-09,2022-02-05,High,514953.01,9,True,False,Settled,2024-12-17,1046,152279.75,False,Resolved,1
CC-2022-0918,Singapore International Comm.,JUD-09,2022-02-05,Medium,1502852.9,5,True,True,Dismissed,2022-12-19,317,0.0,False,Resolved,1
CC-2022-0700,Dubai International Fin. Centre,JUD-10,2022-02-05,High,492942.24,3,True,False,Dismissed,2023-05-29,478,0.0,False,Resolved,1
CC-2022-1270,High Court — KBD (TCC),JUD-05,2022-02-05,Low,299665.66,2,False,False,Settled,2022-12-30,328,54796.03,False,Resolved,1
CC-2022-0004,London Commercial Court,JUD-02,2022-02-05,Low,104946.26,0,True,False,Dismissed,2022-08-30,206,0.0,False,Resolved,1
CC-2022-0620,London Commercial Court,JUD-02,2022-02-06,High,439857.58,7,False,False,Settled,2023-01-07,335,132273.15,False,Resolved,1
CC-2022-0381,High Court — Chancery Division,JUD-04,2022-02-06,Low,69132.99,0,False,False,Settled,2022-09-14,220,14388.62,False,Resolved,1
CC-2022-1039,High Court — KBD (TCC),JUD-05,2022-02-06,Medium,598299.71,2,True,False,Settled,2023-04-21,439,82421.79,False,Resolved,1
CC-2022-0792,Singapore International Comm.,JUD-09,2022-02-07,Medium,422761.35,4,True,True,Dismissed,2022-09-30,235,0.0,False,Resolved,1
CC-2022-0795,Dubai International Fin. Centre,JUD-10,2022-02-07,Low,148426.25,3,True,False,Settled,2022-10-23,258,72939.26,False,Resolved,1
CC-2022-1044,US District Court — N.D. Cal.,JUD-08,2022-02-07,Low,681429.14,0,False,False,Settled,2023-02-27,385,407630.45,False,Resolved,1
CC-2022-0145,High Court — Chancery Division,JUD-03,2022-02-07,Low,672401.69,1,True,False,Settled,2022-08-07,181,138702.0,False,Resolved,1
CC-2022-1198,Dubai International Fin. Centre,JUD-10,2022-02-07,High,364269.88,6,False,False,Settled,2023-02-21,379,58601.44,False,Resolved,1
CC-2022-0839,High Court — Chancery Division,JUD-03,2022-02-08,Medium,91148.37,2,False,False,Dismissed,2022-10-13,247,0.0,False,Resolved,1
CC-2022-0869,Singapore International Comm.,JUD-09,2022-02-08,Medium,508415.86,1,True,True,Dismissed,2023-06-01,478,0.0,False,Resolved,1
CC-2022-0713,London Commercial Court,JUD-01,2022-02-08,Low,575621.42,0,False,False,Trial Judgment,2023-03-26,411,0.0,False,Resolved,1
CC-2022-0147,London Commercial Court,JUD-01,2022-02-08,Medium,115017.96,1,False,False,Settled,2023-09-20,589,30547.53,False,Resolved,1
CC-2022-1177,London Commercial Court,JUD-01,2022-02-09,Low,131852.41,0,True,True,Dismissed,2022-06-22,133,0.0,False,Resolved,1
CC-2022-0069,High Court — Chancery Division,JUD-04,2022-02-09,Medium,458857.47,3,True,False,Settled,2024-05-30,841,96029.96,False,Resolved,1
CC-2022-0966,High Court — Chancery Division,JUD-03,2022-02-09,Medium,5030169.28,2,False,False,,,1602,,,Ongoing,0
CC-2022-0011,US District Court — S.D.N.Y.,JUD-06,2022-02-09,Medium,1811605.91,2,False,False,Dismissed,2023-02-19,375,0.0,False,Resolved,1
CC-2022-1142,High Court — Chancery Division,JUD-04,2022-02-10,High,84886.95,1,False,False,Dismissed,2023-11-10,638,0.0,False,Resolved,1
CC-2022-0917,London Commercial Court,JUD-01,2022-02-10,High,998415.99,3,False,False,Settled,2023-06-03,478,95235.84,False,Resolved,1
CC-2022-0531,High Court — Chancery Division,JUD-03,2022-02-10,Medium,883976.55,2,False,False,Settled,2023-01-18,342,634733.27,False,Resolved,1
CC-2022-0012,London Commercial Court,JUD-01,2022-02-11,Low,86955.03,0,True,False,Dismissed,2022-09-10,211,0.0,False,Resolved,1
CC-2022-0647,Dubai International Fin. Centre,JUD-10,2022-02-11,Medium,7082388.46,5,True,False,Settled,2025-02-23,1108,1081680.25,False,Resolved,1
CC-2022-0208,High Court — Chancery Division,JUD-03,2022-02-11,Low,270705.81,0,False,False,Dismissed,2023-01-17,340,0.0,False,Resolved,1
CC-2022-1169,High Court — KBD (TCC),JUD-05,2022-02-11,Medium,152070.95,0,False,False,Settled,2023-01-15,338,69429.35,False,Resolved,1
CC-2022-0875,High Court — KBD (TCC),JUD-05,2022-02-12,Low,593689.32,2,False,False,Dismissed,2023-04-09,421,0.0,False,Resolved,1
CC-2022-0133,Singapore International Comm.,JUD-09,2022-02-12,High,857679.71,5,True,False,Settled,2023-12-30,686,264200.64,False,Resolved,1
CC-2022-0765,High Court — Chancery Division,JUD-04,2022-02-12,Low,492237.41,1,True,True,Dismissed,2022-09-27,227,0.0,False,Resolved,1
CC-2022-0469,London Commercial Court,JUD-02,2022-02-12,Medium,94331.06,1,True,False,Settled,2022-11-17,278,9968.93,False,Resolved,1
CC-2022-0616,Dubai International Fin. Centre,JUD-10,2022-02-13,Medium,123680.05,4,True,False,Dismissed,2022-10-02,231,0.0,False,Resolved,1
CC-2022-0978,US District Court — S.D.N.Y.,JUD-06,2022-02-13,Medium,2241904.65,2,False,False,Dismissed,2022-11-23,283,0.0,False,Resolved,1
CC-2022-0117,High Court — Chancery Division,JUD-03,2022-02-13,Medium,259008.28,1,False,False,Settled,2024-10-08,968,168588.91,True,Resolved,1
CC-2022-1000,High Court — KBD (TCC),JUD-05,2022-02-14,Low,570972.1,1,True,True,Dismissed,2022-09-04,202,0.0,False,Resolved,1
CC-2022-0333,Singapore International Comm.,JUD-09,2022-02-15,Low,874834.94,1,False,False,Dismissed,2023-04-08,417,0.0,False,Resolved,1
CC-2022-0073,London Commercial Court,JUD-01,2022-02-15,High,426479.44,6,False,False,Dismissed,2024-04-24,799,0.0,False,Resolved,1
CC-2022-0077,US District Court — N.D. Cal.,JUD-08,2022-02-15,Medium,372673.55,1,True,False,Settled,2023-05-11,450,46093.42,False,Resolved,1
CC-2022-0314,Dubai International Fin. Centre,JUD-10,2022-02-16,High,153278.42,4,False,False,Settled,2023-07-19,518,121959.31,False,Resolved,1
CC-2022-0790,Dubai International Fin. Centre,JUD-10,2022-02-16,Low,2098268.48,1,False,False,Settled,2022-11-04,261,856064.66,False,Resolved,1
CC-2022-0494,London Commercial Court,JUD-01,2022-02-17,Low,466646.75,0,True,True,Dismissed,2022-10-01,226,0.0,False,Resolved,1
CC-2022-1009,High Court — Chancery Division,JUD-04,2022-02-18,Medium,2044797.02,4,False,False,,,1593,,,Ongoing,0
CC-2022-0651,US District Court — N.D. Cal.,JUD-08,2022-02-18,Medium,799260.03,2,True,True,Dismissed,2022-09-23,217,0.0,False,Resolved,1
CC-2022-0302,High Court — KBD (TCC),JUD-05,2022-02-18,Medium,223954.27,0,False,False,Settled,2023-04-03,409,100686.22,False,Resolved,1
CC-2022-0047,London Commercial Court,JUD-02,2022-02-18,High,385262.78,3,False,False,Settled,2023-09-26,585,197426.06,False,Resolved,1
CC-2022-0204,US District Court — S.D.N.Y.,JUD-06,2022-02-18,High,1212850.07,2,False,False,Settled,2023-11-20,640,844603.23,False,Resolved,1
CC-2022-0149,US District Court — S.D.N.Y.,JUD-06,2022-02-18,Low,216290.23,2,False,False,Settled,2022-08-25,188,109300.25,False,Resolved,1
CC-2022-0677,Singapore International Comm.,JUD-09,2022-02-18,Medium,2111465.68,3,False,False,Settled,2023-03-25,400,677986.23,False,Resolved,1
CC-2022-0748,US District Court — S.D.N.Y.,JUD-06,2022-02-19,Medium,98264.03,1,True,False,Settled,2023-04-16,421,57995.97,False,Resolved,1
CC-2022-0757,High Court — Chancery Division,JUD-03,2022-02-19,Medium,261702.12,0,False,False,Settled,2023-09-22,580,17331.08,False,Resolved,1
CC-2022-0451,US District Court — N.D. Cal.,JUD-08,2022-02-20,High,2310641.58,1,True,False,Settled,2025-01-15,1060,357464.77,False,Resolved,1
CC-2022-0845,London Commercial Court,JUD-01,2022-02-20,High,869823.28,2,False,False,Dismissed,2023-03-31,404,0.0,False,Resolved,1
CC-2022-1207,High Court — KBD (TCC),JUD-05,2022-02-20,High,1793944.99,2,True,False,Settled,2024-11-02,986,323579.28,False,Resolved,1
CC-2022-0815,US District Court — N.D. Cal.,JUD-08,2022-02-21,Medium,383239.65,4,True,False,Settled,2023-11-30,647,114956.68,False,Resolved,1
CC-2022-0591,US District Court — S.D.N.Y.,JUD-06,2022-02-21,High,738592.45,2,False,False,Settled,2024-04-24,793,118926.41,False,Resolved,1
CC-2022-0593,US District Court — N.D. Cal.,JUD-08,2022-02-21,Medium,675186.73,3,False,False,Settled,2022-10-27,248,217792.14,False,Resolved,1
CC-2022-0035,High Court — KBD (TCC),JUD-05,2022-02-21,Medium,81144.95,0,True,False,Settled,2023-02-12,356,22484.55,False,Resolved,1
CC-2022-1206,High Court — Chancery Division,JUD-03,2022-02-22,Medium,818794.65,2,True,False,Settled,2023-11-16,632,216774.37,False,Resolved,1
CC-2022-1201,High Court — KBD (TCC),JUD-05,2022-02-22,Low,458068.23,1,True,False,Dismissed,2022-10-05,225,0.0,False,Resolved,1
CC-2022-0666,Singapore International Comm.,JUD-09,2022-02-22,Medium,576781.37,3,False,False,Settled,2023-04-03,405,357814.21,False,Resolved,1
CC-2022-0967,Singapore International Comm.,JUD-09,2022-02-22,Medium,536645.31,1,True,True,Dismissed,2022-10-24,244,0.0,False,Resolved,1
CC-2022-0327,London Commercial Court,JUD-02,2022-02-23,High,181836.77,1,True,False,Settled,2023-03-09,379,8244.58,False,Resolved,1
CC-2022-0360,Dubai International Fin. Centre,JUD-10,2022-02-23,Medium,1833891.28,3,False,False,Settled,2024-01-23,699,779839.13,False,Resolved,1
CC-2022-0784,London Commercial Court,JUD-02,2022-02-24,Medium,707516.43,1,True,False,Settled,2023-05-09,439,16012.61,False,Resolved,1
CC-2022-0686,High Court — KBD (TCC),JUD-05,2022-02-25,Low,5293965.45,2,True,True,Dismissed,2022-10-21,238,0.0,False,Resolved,1
