claim_id,filing_date,claim_amount_gbp,track,defended,disposition_type,disposition_date,days_to_resolution,final_awarded_amount_gbp,case_status,event_observed
GC-2022-01437,2022-01-10,179.51,Small claims,False,Default Judgment,2022-02-22,43,179.51,Resolved,1
GC-2022-05001,2022-01-10,895.18,Small claims,False,Default Judgment,2022-02-18,39,895.18,Resolved,1
GC-2022-04638,2022-01-10,288.95,Small claims,False,Default Judgment,2022-03-19,68,288.95,Resolved,1
GC-2022-04625,2022-01-10,9598.15,Small claims,False,Paid or discontinued,2022-02-09,30,5861.52,Resolved,1
GC-2022-02530,2022-01-11,10150.06,Fast/multi-track,False,Default Judgment,2022-02-25,45,10150.06,Resolved,1
GC-2022-01557,2022-01-11,8441.76,Small claims,False,Default Judgment,2022-02-18,38,8441.76,Resolved,1
GC-2022-02041,2022-01-11,2179.47,Small claims,False,Paid or discontinued,2022-02-28,48,1934.98,Resolved,1
GC-2022-02544,2022-01-11,6478.63,Small claims,False,Paid or discontinued,2022-02-16,36,5732.73,Resolved,1
GC-2022-04474,2022-01-11,253.18,Small claims,False,Default Judgment,2022-03-21,69,253.18,Resolved,1
GC-2022-02176,2022-01-11,2524.54,Small claims,False,Paid or discontinued,2022-02-16,36,1365.36,Resolved,1
GC-2022-00146,2022-01-11,405.84,Small claims,False,Paid or discontinued,2022-02-10,30,254.4,Resolved,1
GC-2022-03799,2022-01-11,552.3,Small claims,False,Default Judgment,2022-03-07,55,552.3,Resolved,1
GC-2022-01472,2022-01-11,1502.45,Small claims,False,Default Judgment,2022-03-08,56,1502.45,Resolved,1
GC-2022-04275,2022-01-11,2175.8,Small claims,False,Default Judgment,2022-03-10,58,2175.8,Resolved,1
GC-2022-00540,2022-01-11,3689.51,Small claims,True,Settled,2022-07-26,196,1199.54,Resolved,1
GC-2022-01766,2022-01-11,321.4,Small claims,False,Paid or discontinued,2022-03-02,50,286.98,Resolved,1
GC-2022-03274,2022-01-11,950.88,Small claims,False,Default Judgment,2022-02-17,37,950.88,Resolved,1
GC-2022-00297,2022-01-11,3082.9,Small claims,False,Default Judgment,2022-03-19,67,3082.9,Resolved,1
GC-2022-00024,2022-01-11,6752.77,Small claims,False,Paid or discontinued,2022-01-28,17,4480.24,Resolved,1
GC-2022-01962,2022-01-12,2110.22,Small claims,False,Default Judgment,2022-03-25,72,2110.22,Resolved,1
GC-2022-00863,2022-01-12,3280.2,Small claims,False,Default Judgment,2022-03-19,66,3280.2,Resolved,1
GC-2022-04124,2022-01-12,1411.66,Small claims,False,Paid or discontinued,2022-02-14,33,801.58,Resolved,1
GC-2022-04217,2022-01-12,9747.18,Small claims,False,Default Judgment,2022-03-05,52,9747.18,Resolved,1
GC-2022-04904,2022-01-12,734.65,Small claims,False,Paid or discontinued,2022-01-29,17,462.28,Resolved,1
GC-2022-04884,2022-01-12,295.04,Small claims,False,Default Judgment,2022-04-17,95,295.04,Resolved,1
GC-2022-03646,2022-01-12,2162.01,Small claims,False,Default Judgment,2022-03-02,49,2162.01,Resolved,1
GC-2022-00315,2022-01-12,3616.94,Small claims,False,Paid or discontinued,2022-03-15,62,2903.79,Resolved,1
GC-2022-01106,2022-01-12,1359.93,Small claims,False,Paid or discontinued,2022-02-06,25,722.23,Resolved,1
GC-2022-03871,2022-01-12,279.78,Small claims,False,Paid or discontinued,2022-02-03,22,193.35,Resolved,1
GC-2022-00177,2022-01-12,1734.97,Small claims,False,Paid or discontinued,2022-02-10,29,720.9,Resolved,1
GC-2022-01187,2022-01-12,655.35,Small claims,False,Default Judgment,2022-03-11,58,655.35,Resolved,1
GC-2022-02291,2022-01-12,1205.42,Small claims,False,Default Judgment,2022-03-03,50,1205.42,Resolved,1
GC-2022-04284,2022-01-13,8253.65,Small claims,False,Default Judgment,2022-03-10,56,8253.65,Resolved,1
GC-2022-00452,2022-01-13,3550.52,Small claims,False,Paid or discontinued,2022-02-14,32,2638.87,Resolved,1
GC-2022-04045,2022-01-13,130.95,Small claims,False,Paid or discontinued,2022-02-07,25,108.85,Resolved,1
GC-2022-00293,2022-01-13,4313.66,Small claims,False,Paid or discontinued,2022-02-04,22,3628.81,Resolved,1
GC-2022-00942,2022-01-13,3473.35,Small claims,False,Paid or discontinued,2022-02-18,36,1689.65,Resolved,1
GC-2022-04153,2022-01-13,2230.56,Small claims,False,Default Judgment,2022-02-20,38,2230.56,Resolved,1
GC-2022-04599,2022-01-13,201.27,Small claims,True,Settled,2022-08-03,202,92.87,Resolved,1
GC-2022-01055,2022-01-13,4064.81,Small claims,False,Default Judgment,2022-02-16,34,4064.81,Resolved,1
GC-2022-03814,2022-01-13,47287.81,Fast/multi-track,False,Paid or discontinued,2022-02-07,25,37682.35,Resolved,1
GC-2022-01208,2022-01-13,8466.49,Small claims,False,Paid or discontinued,2022-03-13,59,7231.94,Resolved,1
GC-2022-04969,2022-01-13,925.42,Small claims,False,Paid or discontinued,2022-02-21,39,772.68,Resolved,1
GC-2022-04513,2022-01-13,3306.98,Small claims,False,Paid or discontinued,2022-02-02,20,2720.55,Resolved,1
GC-2022-03416,2022-01-13,11838.26,Fast/multi-track,False,Paid or discontinued,2022-02-11,29,5854.99,Resolved,1
GC-2022-04378,2022-01-13,10599.88,Fast/multi-track,True,Settled,2022-11-02,293,8038.17,Resolved,1
GC-2022-01929,2022-01-14,8864.62,Small claims,False,Paid or discontinued,2022-02-14,31,5057.49,Resolved,1
GC-2022-02321,2022-01-14,927.17,Small claims,False,Default Judgment,2022-03-20,65,927.17,Resolved,1
GC-2022-02978,2022-01-14,1389.99,Small claims,False,Default Judgment,2022-03-29,74,1389.99,Resolved,1
GC-2022-00610,2022-01-14,1153.5,Small claims,False,Paid or discontinued,2022-02-16,33,881.95,Resolved,1
GC-2022-03263,2022-01-14,7158.93,Small claims,False,Paid or discontinued,2022-02-24,41,5871.04,Resolved,1
GC-2022-02034,2022-01-14,3266.48,Small claims,False,Paid or discontinued,2022-02-27,44,3189.2,Resolved,1
GC-2022-02514,2022-01-14,2052.06,Small claims,False,Default Judgment,2022-03-09,54,2052.06,Resolved,1
GC-2022-03120,2022-01-14,651.47,Small claims,False,Paid or discontinued,2022-02-25,42,462.34,Resolved,1
GC-2022-00379,2022-01-14,7928.05,Small claims,False,Paid or discontinued,2022-02-26,43,6582.78,Resolved,1
GC-2022-02825,2022-01-14,26802.51,Fast/multi-track,False,Paid or discontinued,2022-03-20,65,23453.05,Resolved,1
GC-2022-04222,2022-01-14,13110.98,Fast/multi-track,False,Default Judgment,2022-03-05,50,13110.98,Resolved,1
GC-2022-04621,2022-01-15,13046.83,Fast/multi-track,False,Paid or discontinued,2022-01-29,14,11332.81,Resolved,1
GC-2022-00437,2022-01-15,1266.24,Small claims,False,Default Judgment,2022-04-12,87,1266.24,Resolved,1
GC-2022-04255,2022-01-15,5882.89,Small claims,True,Settled,2022-06-04,140,4962.0,Resolved,1
GC-2022-00069,2022-01-15,3241.84,Small claims,False,Default Judgment,2022-04-05,80,3241.84,Resolved,1
GC-2022-01409,2022-01-15,7404.43,Small claims,False,Default Judgment,2022-03-20,64,7404.43,Resolved,1
GC-2022-04140,2022-01-15,3662.32,Small claims,False,Default Judgment,2022-03-26,70,3662.32,Resolved,1
GC-2022-05041,2022-01-15,226.56,Small claims,False,Default Judgment,2022-03-23,67,226.56,Resolved,1
GC-2022-00960,2022-01-15,2852.42,Small claims,False,Default Judgment,2022-03-16,60,2852.42,Resolved,1
GC-2022-03583,2022-01-15,5395.5,Small claims,False,Paid or discontinued,2022-02-13,29,4011.14,Resolved,1
GC-2022-01738,2022-01-15,6487.72,Small claims,False,Paid or discontinued,2022-02-21,37,4893.11,Resolved,1
GC-2022-03349,2022-01-15,40883.07,Fast/multi-track,True,Settled,2022-10-09,267,31587.33,Resolved,1
GC-2022-03024,2022-01-15,113.32,Small claims,False,Paid or discontinued,2022-02-10,26,67.86,Resolved,1
GC-2022-01694,2022-01-15,3619.19,Small claims,False,Default Judgment,2022-02-26,42,3619.19,Resolved,1
GC-2022-04851,2022-01-15,2232.87,Small claims,False,Default Judgment,2022-03-06,50,2232.87,Resolved,1
GC-2022-03200,2022-01-15,11966.32,Fast/multi-track,True,Settled,2023-03-14,423,6735.87,Resolved,1
GC-2022-03918,2022-01-15,9524.81,Small claims,True,Settled,2022-07-13,179,7060.61,Resolved,1
GC-2022-03746,2022-01-15,1464.67,Small claims,False,Default Judgment,2022-03-17,61,1464.67,Resolved,1
GC-2022-03290,2022-01-15,5484.74,Small claims,True,Settled,2022-05-24,129,1333.61,Resolved,1
GC-2022-03759,2022-01-15,729.4,Small claims,True,Settled,2022-04-06,81,275.43,Resolved,1
GC-2022-05002,2022-01-16,6570.79,Small claims,False,Paid or discontinued,2022-02-05,20,4349.43,Resolved,1
GC-2022-04031,2022-01-16,2830.53,Small claims,False,Paid or discontinued,2022-04-05,79,2065.84,Resolved,1
GC-2022-00270,2022-01-16,4774.4,Small claims,False,Paid or discontinued,2022-03-11,54,1562.09,Resolved,1
GC-2022-02838,2022-01-16,306.61,Small claims,False,Paid or discontinued,2022-02-28,43,169.77,Resolved,1
GC-2022-04819,2022-01-16,3986.7,Small claims,False,Default Judgment,2022-05-12,116,3986.7,Resolved,1
GC-2022-02452,2022-01-16,337.67,Small claims,False,Default Judgment,2022-03-09,52,337.67,Resolved,1
GC-2022-01215,2022-01-16,1254.1,Small claims,False,Paid or discontinued,2022-02-28,43,1062.91,Resolved,1
GC-2022-05024,2022-01-16,3315.23,Small claims,False,Default Judgment,2022-03-17,60,3315.23,Resolved,1
GC-2022-04644,2022-01-16,578.95,Small claims,True,Settled,2022-06-25,160,124.42,Resolved,1
GC-2022-04348,2022-01-17,147.51,Small claims,False,Default Judgment,2022-03-02,44,147.51,Resolved,1
GC-2022-01556,2022-01-17,2303.18,Small claims,False,Paid or discontinued,2022-01-31,14,1225.48,Resolved,1
GC-2022-00969,2022-01-17,2831.94,Small claims,False,Default Judgment,2022-03-17,59,2831.94,Resolved,1
GC-2022-04314,2022-01-17,15402.07,Fast/multi-track,True,Trial Judgment,2022-08-28,223,0.0,Resolved,1
GC-2022-01480,2022-01-17,1945.27,Small claims,False,Default Judgment,2022-02-25,39,1945.27,Resolved,1
GC-2022-02741,2022-01-17,22650.33,Fast/multi-track,False,Default Judgment,2022-03-24,66,22650.33,Resolved,1
GC-2022-04730,2022-01-17,678.42,Small claims,False,Default Judgment,2022-03-08,50,678.42,Resolved,1
GC-2022-03379,2022-01-17,2098.26,Small claims,False,Default Judgment,2022-02-28,42,2098.26,Resolved,1
GC-2022-02515,2022-01-18,6927.07,Small claims,True,Trial Judgment,2022-11-17,303,0.0,Resolved,1
GC-2022-01367,2022-01-18,10016.64,Fast/multi-track,False,Default Judgment,2022-02-21,34,10016.64,Resolved,1
GC-2022-04183,2022-01-18,532.81,Small claims,False,Paid or discontinued,2022-02-28,41,219.43,Resolved,1
GC-2022-01493,2022-01-18,926.67,Small claims,False,Paid or discontinued,2022-02-25,38,681.4,Resolved,1
GC-2022-04566,2022-01-18,1268.13,Small claims,False,Paid or discontinued,2022-02-14,27,1086.84,Resolved,1
GC-2022-01115,2022-01-18,9423.6,Small claims,False,Default Judgment,2022-02-22,35,9423.6,Resolved,1
GC-2022-03283,2022-01-18,1038.16,Small claims,False,Default Judgment,2022-03-14,55,1038.16,Resolved,1
GC-2022-01736,2022-01-18,563.59,Small claims,False,Paid or discontinued,2022-02-15,28,349.31,Resolved,1
GC-2022-02681,2022-01-18,4370.46,Small claims,False,Default Judgment,2022-04-04,76,4370.46,Resolved,1
GC-2022-02190,2022-01-18,340.29,Small claims,False,Paid or discontinued,2022-02-28,41,260.81,Resolved,1
GC-2022-05050,2022-01-18,27766.59,Fast/multi-track,True,Settled,2022-08-12,206,16604.62,Resolved,1
GC-2022-00993,2022-01-18,722.26,Small claims,False,Paid or discontinued,2022-01-30,12,508.91,Resolved,1
GC-2022-04440,2022-01-18,12817.18,Fast/multi-track,False,Default Judgment,2022-03-11,52,12817.18,Resolved,1
GC-2022-00195,2022-01-18,3469.76,Small claims,False,Paid or discontinued,2022-03-10,51,2376.85,Resolved,1
GC-2022-03985,2022-01-18,15233.64,Fast/multi-track,False,Default Judgment,2022-04-15,87,15233.64,Resolved,1
